<,IssueID,URL,Title,Status,CreatedAt,BugType ,StackLayer,,CTClass,subtype,reason Bug,reason Stack,reason Class
NVIDIA/cuda-quantum,2452,https://github.com/NVIDIA/cuda-quantum/issues/2452,Error not thrown when broadcasting custom unitary to a qvector.,open,2024-12-05T19:24:02Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic,A,A,,"When attempting to broadcast a custom unitary to a qvector, an error is not thrown. In the reproducer below, the kernel produces an incorrect result when sampled. ",The issue is in the high-level Python API / kernel-call that wires cudaq.qvector arguments into registered custom operations ,A front-end checker could statically compare the arity implied by the custom-op matrix with the argument shape 
NVIDIA/cuda-quantum,2434,https://github.com/NVIDIA/cuda-quantum/issues/2434,cudaErrorIllegalAddress error when using exp_pauli(...) on multiple GPUs,open,2024-11-28T15:14:43Z,Performance-/Numerik-Bug,Backend-Library,C,C,,"When using exp_pauli(pauli string) in a kernel, cudaq.observe(...) and cudaq.sample(...) calls result in the error:  RuntimeError: cudaErrorIllegalAddress ",Error arises in the CUDA-Q backend library that implements multi-GPU execution of exp_pauli. ,Illegal address on the GPU is a low-level runtime bug. Nothing which could be detected reasonably within compiletime
NVIDIA/cuda-quantum,2425,https://github.com/NVIDIA/cuda-quantum/issues/2425,[braket] Reorder global register to be in original qubit allocation order,open,2024-11-27T01:25:48Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,"Reorder global register to be in original qubit allocation order for braket backend, if we run any qubit mapping. ",A framework integration issue in the Braket backend’s mapping layer. Cuda-Q kernel and API seem to be fine.  ,Whether a backend reorders qubits after mapping is a backend-specific integration detail. A generic compile-time checker on user code cannot easily see or forbid this.
NVIDIA/cuda-quantum,2415,https://github.com/NVIDIA/cuda-quantum/issues/2415,Failure when building `OptTransforms` library alone.,closed,2024-11-25T19:12:49Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B ,B1,Partial build of OptTransforms does not generate missing headers and fails during compilation.,"This is a build-system / CMake dependency-graph issue for generated headers in the OptTransforms/Optimizer CodeGen pipeline (e.g., missing generation of Passes.h.inc when building OptTransforms in isolation), not an exp_pauli / cudaq.control backend-library problem. ","(potentially avoidable at compile time, advanced analysis): A build system check could specifically verify whether all generated includes are correctly created as dependencies."
NVIDIA/cuda-quantum,2306,https://github.com/NVIDIA/cuda-quantum/issues/2306,Unified memory support on GH200 Grace Hopper,closed,2024-10-21T16:49:29Z,Performance-/Numerik-Bug ,Backend-Library,C,C,,"Simulation fails with ""requested size is too big,"" even though hardware with unified memory should actually allow for more qubits.","Limitations arise from cuQuantum/backend memory allocation (e.g., cudaMalloc vs. cudaMallocManaged), not from user code or build.",The use of unified memory is an implementation/architecture issue on the backend that cannot be “avoided” by user-side compile-time checks.
NVIDIA/cuda-quantum,2279,https://github.com/NVIDIA/cuda-quantum/issues/2279,Inconsistent behavior with mid-circuit measurements while sampling if NO reset is performed after the measurement,open,2024-10-14T22:58:54Z,Performance-/Numerik-Bug,Backend-Library,C,C,,Semantically identical kernels produce different __global__ distributions because mid-circuit measures do not collapse the state.,"The cause lies in the implementation of the simulators (except for stim), which incorrectly model mid-circuit measurements.",This is a fundamental question of simulation semantics and can only be resolved by changing the simulator implementations.
NVIDIA/cuda-quantum,2274,https://github.com/NVIDIA/cuda-quantum/issues/2274,Erroneous mid-circuit measurements while sampling if a reset is performed after the measurement,closed,2024-10-14T15:30:10Z,Performance-/Numerik-Bug,Backend-Library,C,C,,Mid-circuit measurements are being reported with incorrect values if a reset follows them. I believe this affects all of the existing simulators. ,The problem sits in the simulator backend. the reset implementation does not flush pending sampling tasks ,Whether the simulator correctly flushes its internal sampling queue on reset is purely a runtime implementation detail 
NVIDIA/cuda-quantum,2271,https://github.com/NVIDIA/cuda-quantum/issues/2271,Mid-circuit measurements are not handled properly when using `__qpu__` attributes on C++ functions or lambdas,open,2024-10-14T00:40:22Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,"Runtime cannot resolve function names from __qpu__ kernels, so mid-circuit conditionals are handled incorrectly.","Problem lies in runtime/integration: Kernel names of __qpu__ functions/lambdas are not resolved at runtime; as a result, conditional feedback is not recognized (kernelHasConditionalFeedback ? false).",Whether kernel names end up correctly in the runtime metadata map is an internal integration issue and cannot be avoided by static analysis of the user code.
NVIDIA/cuda-quantum,2249,https://github.com/NVIDIA/cuda-quantum/issues/2249,anyon target is not stable in CI,closed,2024-10-03T20:05:12Z,Performance-/Numerik-Bug,Backend-Library,C,C,,The anyon target is not stable in CI: target tests fail when anyon is selected and stdout is empty/incorrect. ,"The problem is in the anyon target implementation and its CI/target-test execution path, not in simulator reset/sampling semantics. ",This is an internal target/backend stability issue; user-side compile-time checks cannot prevent CI-time target instability.
NVIDIA/cuda-quantum,2240,https://github.com/NVIDIA/cuda-quantum/issues/2240,List defined inside a kernel passed into subkernel throws an error,open,2024-10-01T12:25:32Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,C,,"A list created inside a kernel and then passed into a subkernel causes a compilation failure (call operand type mismatch / list lowering issue), while passing a list literal directly works. "," Problem in the interaction between high-level kernel/draw API and backend/library call, not in the user kernel itself.",The error lies in the specific implementation of the draw/backend path and cannot be prevented by additional static checks on the user code.
NVIDIA/cuda-quantum,2196,https://github.com/NVIDIA/cuda-quantum/issues/2196,FuseWithConstantArray on ExtractValueOp always returns success(),closed,2024-09-06T16:20:11Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,B ,B ,B2,"The MLIR pass returns ""success"" even though no pattern was applied, thereby blocking further canonicalization patterns.","The bug is in the compiler/optimizer pass of Quake/CC-IR, not in the user API or environment.","An IR/pass validator could statically find the inconsistency “success without change”; however, this requires special compiler analyses, not just simple type checks."
NVIDIA/cuda-quantum,2185,https://github.com/NVIDIA/cuda-quantum/issues/2185,`nvidia` target: simulation errors when setting `CUDAQ_MAX_CPU_MEMORY_GB` beyond system memory capacity,open,2024-09-02T04:18:07Z,Config-/Environment-Bug,Runtime-/Framework-Runtime ,C,C,,"Documented environment variable does not behave robustly for ""unlimited"" or too large values and leads to runtime errors / incorrect results.","The error lies in the runtime logic of how the simulators interpret host/GPU memory limits, not in the build or user API.",The relationship between physical memory and runtime configuration cannot be detected by analyzing the user code; a more robust runtime implementation is required.
NVIDIA/cuda-quantum,2157,https://github.com/NVIDIA/cuda-quantum/issues/2157,Drawing conditional measurement operations,open,2024-08-27T09:28:43Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,C,,"The drawing function ignores conditional gates based on measurement results, thereby violating the expected visualization semantics.","The error lies in the high-level display/visualization logic, regardless of the backend and numerics.","The problem is a lack of functionality in the Draw API; compile-time checks on the kernel code cannot “prevent” this, only the implementation itself can fix it."
NVIDIA/cuda-quantum,2110,https://github.com/NVIDIA/cuda-quantum/issues/2110,C++ segfault when passing callable kernel to another kernel from library,open,2024-08-19T23:22:46Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,"Passing a callable quantum kernel across translation units (library-defined kernel wrapped as std::function and invoked from another kernel) triggers a C++-side segfault in CUDA-Q, despite being valid C++ usage.","The problem is in the toolchain/runtime's handling of kernel symbol identity and callable kernel plumbing across translation units / function objects, not in the user algorithm.",This is a runtime/toolchain integration limitation; generic compile-time checks on user code cannot reliably prevent it without overly restricting valid C++ patterns (Class C).
NVIDIA/cuda-quantum,2092,https://github.com/NVIDIA/cuda-quantum/issues/2092,Incorrect spin op expression evaluation,closed,2024-08-14T20:18:13Z,Performance-/Numerik-Bug,Backend-Library,C,C,,Evaluating certain spin operator expressions produces an incorrect matrix (order-dependent: one ordering yields wrong results while the reversed ordering is correct).,The defect lies in the backend library's spin-operator algebra / matrix construction logic (implementation bug in operator composition).,This is a semantic/algebraic backend bug that requires fixing library logic; it cannot be eliminated by static checks on user code.
NVIDIA/cuda-quantum,2088,https://github.com/NVIDIA/cuda-quantum/issues/2088,Target tests appear to sometimes use files from installation directory,closed,2024-08-13T17:04:14Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment,B ,B ,B1,"Target tests sometimes pick up artifacts from a prior make install instead of the current build, making tests non-deterministic and not actually validating the build under test.","The root cause is in CMake/test configuration and path resolution (e.g., install vs build directory precedence, search paths/RPATH), not in runtime execution.","A build/test validation step can deterministically detect this (e.g., assert tests reference build-tree artifacts), so it is preventable via pre-run configuration checks (Class B1)."
NVIDIA/cuda-quantum,2076,https://github.com/NVIDIA/cuda-quantum/issues/2076,`qvector` initialization from state does not work unless no other qubits have been allocated yet,closed,2024-08-12T13:13:51Z,Performance-/Numerik-Bug,Backend-Library,C,C,,"Initialization of q = cudaq.qvector(vec) unexpectedly affects the upstream qubit p, resulting in an incorrect measurement distribution.","Error in the implementation of the state-init routines of the nvidia-* backends, not in API usage or build.",The correctness of state preparation is purely backend algorithmics and cannot be verified in practice by type/contract checks on the user kernel.
NVIDIA/cuda-quantum,1975,https://github.com/NVIDIA/cuda-quantum/issues/1975,Synthesis fails for some kernels that use `cudaq::slice_vector`,closed,2024-07-19T20:59:04Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration,C,C,,Using slice_vector/observe generates IR that is not supported by the synthesizer/NVQC path.,Bug in the interaction between the CUDA-Q front end (pointer/slice API) and the downstream synthesis/NVQC infrastructure.,"This is a gap/compatibility issue in the synthesizer. additional analysis of the user code would not prevent it, but would only generate earlier error messages."
NVIDIA/cuda-quantum,1957,https://github.com/NVIDIA/cuda-quantum/issues/1957,[MLIR mode] Compile error for `pauli_word` argument,closed,2024-07-18T05:53:38Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,C,,"In MLIR mode, compiling a kernel that takes a cudaq::pauli_word and passes it to exp_pauli(theta, q, pauli) fails with error: could not determine string argument",Issue is probably in the compiler and not API misuse or backend simulation.,Would need a type validator for the MLIR path. Advanced knowledge and implementation in combination with specialised compiler-level analysis instead of some kind of type checking
NVIDIA/cuda-quantum,1946,https://github.com/NVIDIA/cuda-quantum/issues/1946,current version of cudaq.draw throws error if kernel uses exp_pauli,closed,2024-07-17T16:47:33Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,"cudaq.draw() fails for kernels that include exp_pauli(...): the visualization path triggers an initialization / simulator setup error, even though the same kernel can execute normally (e.g., via sample()/observe())","The fault is in the draw/visualization pipeline and its integration with the backend (e.g., the custatevec-based path used by draw()), not in the user kernel semantics. It is an interaction bug between the front-end drawing code and the backend initialization logic.",This is a draw/visualization-path backend initialization bug (custatevec applyExpPauli fails in cudaq.draw while execution via sample() works) and cannot be prevented by user-side compile-time checks 
NVIDIA/cuda-quantum,1925,https://github.com/NVIDIA/cuda-quantum/issues/1925,[CI] [tensornet] Attempt to set target causes fatal error in some OS environments,open,2024-07-12T23:03:00Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,Test that runs through all targets with parameters causes CI runs to crash if optional simulators are not correctly available/integrated.,"The problem lies in the interaction between the test infrastructure, set_target, and optional backends in different OS/CI environments.",This is about robust implementation of target detection/error handling in code and CI; this cannot be prevented in a meaningful way by additional compile-time analyses of user kernels.
NVIDIA/cuda-quantum,1924,https://github.com/NVIDIA/cuda-quantum/issues/1924,[Python] Remote execution speed up doesn't support custom operations,open,2024-07-12T21:51:44Z,Backend-/Framework-Integrations-Bug,Framework-Integration,C,C,,"Local registration of custom_h works, but the remote server reports ""known kernels are []"" and cannot execute the kernel.",The error lies in the integration between the Python front end/custom op registry and the remote execution service.,Whether custom operations are correctly transported/registered to the remote backend is an integration issue and cannot be detected by static analysis of the user code.
NVIDIA/cuda-quantum,1909,https://github.com/NVIDIA/cuda-quantum/issues/1909,cudaq.observe causes a memory leak,closed,2024-07-10T05:34:33Z,Performance-/Numerik-Bug,Runtime-/Framework-Runtime ,C,C,,Memory usage increases continuously with many observe calls and is not released.,"The problem lies in the resource/memory management of the runtime/execution engine, not in the compiler or API semantics",Memory leaks of this type are classic runtime implementation bugs and cannot be prevented by compile-time analyses of the user program.
NVIDIA/cuda-quantum,1895,https://github.com/NVIDIA/cuda-quantum/issues/1895,Endian is inconsistent between State and SpinOperator.to_matrix,closed,2024-07-08T07:26:25Z,Performance-/Numerik-Bug,Backend-Library ,C,C,,Expected value from observe and direct calculation state @ to_matrix() @ state deliver different results due to different endianness conventions.,The error lies in the implementation of SpinOperator.to_matrix or the assignment of the operator to the state basis.,Inconsistent endianness is a design/implementation error in the library and cannot be avoided by static analysis of user kernels.
NVIDIA/cuda-quantum,1894,https://github.com/NVIDIA/cuda-quantum/issues/1894,Controlled exp_pauli is not correct,closed,2024-07-08T07:08:46Z,Performance-/Numerik-Bug ,Backend-Library ,C,C,,"Applying cudaq.control(...) to a unitary that uses exp_pauli(...) produces an incorrect state (the Hadamard-test example does not yield the expected Bell state amplitudes), while an equivalent construction using a simple gate (e.g., X) behaves correctly.","The defect is in the backend/library implementation of controlled exp_pauli (i.e., how the controlled version of the exp_pauli operation is constructed/lowered), not in user code syntax or environment setup.",This is a semantic/numerical backend correctness bug: it requires fixing the implementation of the controlled exp_pauli path and cannot be prevented by generic compile-time or user-side static checks.
NVIDIA/cuda-quantum,1875,https://github.com/NVIDIA/cuda-quantum/issues/1875,issue with if condition after mid circuit measurement,closed,2024-07-01T15:17:07Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,C,C,,Semantically equivalent control logic with and and nested if statements leads to different behavior; a is not set in the second case.,"The cause is the code generation/lowering logic for Boolean expressions and measurement results, not the environment or backend selection."," This is a compiler/IR lowering bug; additional static checks on the user kernel would not prevent it, only implementation fixes in the codegen."
NVIDIA/cuda-quantum,1874,https://github.com/NVIDIA/cuda-quantum/issues/1874,Execution hangs on OpenSUSE when installed via installer,closed,2024-07-01T13:16:37Z,Performance-/Numerik-Bug,Runtime-/Framework-Runtime ,C,C,,Execution on GPU backends under OpenSUSE is blocked or only continues after a timeout.,The problem lies in the interaction between CUDA-Q runtime and libc++/OS-specific environment when starting/executing GPU backends.,OS/runtime-specific hangers of this type are implementation/configuration details of the runtime and cannot be avoided by additional compile-time analyses of the user code.
NVIDIA/cuda-quantum,1871,https://github.com/NVIDIA/cuda-quantum/issues/1871,Calling the same quantum kernel in cudaq.control and cudaq.adjoint in the main kernel give error.,closed,2024-06-30T13:35:07Z,API-/Usage-/Logic-Bug (High-Level),Framework-Integration ,C,C,,A valid pattern (calling the same kernel via cudaq.control and cudaq.adjoint inside a parent kernel) fails with an internal error like “does not reference a valid function.” ,"The root cause is in MLIR/codegen handling of controlled/adjointed function symbols, not in Python usage or the environment. ",This is a compiler/codegen integration issue; user-side compile-time checks cannot meaningfully prevent it 
NVIDIA/cuda-quantum,1860,https://github.com/NVIDIA/cuda-quantum/issues/1860,Build dependency missing for python?,closed,2024-06-27T20:45:25Z,Build-/Install-/Packaging-Bug,Build/Deploy/Environment ,B ,B ,B1,suspect that there may be missing boilerplate regarding copying the .py files in our cmake recipes. ,This is a build / environment configuration issue in the CUDA-Q installation flow ,"A simple configure-time check in CMake could fix this problem, so B1"
NVIDIA/cuda-quantum,1813,https://github.com/NVIDIA/cuda-quantum/issues/1813,DepolarizationChannel not completely depolarizing,closed,2024-06-13T16:47:35Z,Performance-/Numerik-Bug,Backend-Library,C,C,,Depolarizing channel with error probability 1 generates <Z> expectation values that depend on the rotation angle instead of being 0.,"The error lies in the implementation of DepolarizationChannel or density-matrix-cpu, not in the high-level API.",Incorrect channel semantics is purely an implementation/numerical bug in the simulator and cannot be prevented by type/contract checks in the user code.
NVIDIA/cuda-quantum,1809,https://github.com/NVIDIA/cuda-quantum/issues/1809,Kernels do not take as input a list[list[int]] type object,open,2024-06-13T15:57:42Z,API-/Usage-/Logic-Bug (High-Level) ,High-Level-API / Framework-Logic ,A,A,,"Passing a nested Python container list[list[int]] into a @cudaq.kernel fails at runtime with Cannot infer CUDA-Q type from provided Python type (!cc.stdvec<!cc.stdvec>), even though the docs show examples that suggest this should work.",The issue is in the Python front-end / type-mapping layer that infers CUDA-Q types from Python annotations and values; it cannot correctly lower nested list containers into the expected CUDA-Q/CC-IR vector-of-vector type. ,This is a compile-time/pre-execution preventable API/type-support issue: a front-end validator or static type check could deterministically reject unsupported nested containers (or support them) before execution. Fits Class A
NVIDIA/cuda-quantum,1804,https://github.com/NVIDIA/cuda-quantum/issues/1804,[python] Combining `cudaq` module with `multiprocesssing` module can result in deadlock,closed,2024-06-12T14:30:28Z,Config-/Environment-Bug,Runtime-/Framework-Runtime ,C,C,,Using the default fork startup method with a multithreaded CUDA-Q process leads to deadlock.,"The problem arises in the runtime interaction between the Python process start method and CUDA-Q runtime, not in the build or kernel code.","Fork-vs-Spawn-Probleme bei Multithreading sind typische Runtime-/Systemeffekte, die nicht sinnvoll durch statische Analyse des User-Programms verhindert werden k�nnen."
NVIDIA/cuda-quantum,1799,https://github.com/NVIDIA/cuda-quantum/issues/1799,Incorrect circuit compilation when using some nested loops,closed,2024-06-11T11:24:06Z,API-/Usage-/Logic-Bug (High-Level),Backend-Library,C,C,,"Decorator path compiles nested loops with for k in range(j+1, N) into a logically incorrect circuit.","The cause is an LLVM/MLIR codegen/loop normalization bug in the compiler pipeline, not in the Python frontend or environment.","(not reasonably avoidable at compile time). Miscompilation due to upstream loop passes can practically only be fixed by fixes/mitigations in the compiler, not by additional type/contract checks on user code."
NVIDIA/cuda-quantum,1784,https://github.com/NVIDIA/cuda-quantum/issues/1784,Quake.ExpPauliOp is incomplete,open,2024-06-10T15:34:46Z,API-/Usage-/Logic-Bug (High-Level),High-Level-API / Framework-Logic ,C,C,,The ExpPauliOp class does not behave like a clean value type API during copy/move/assignment. This is an object/API semantic bug. ,"ExpPauliOp is part of the high-level operator API; its implementation is affected, not the backend or environment. ","Incorrect value semantics in a library class cannot be prevented by analyzing the user code, but only by correcting the class implementation. "
